,segment_id,dir,start_dist,end_dist,type_of_cell
0,3,0,0.0,0.0,0
1,3,0,0.0,0.0,1
2,3,0,0.0,0.0,2
3,3,0,0.0,0.0,1
4,3,0,0.0,0.0,0
0,3,1,0.0,0.0,0
1,3,1,0.0,0.0,1
2,3,1,0.0,0.0,2
3,3,1,0.0,0.0,1
4,3,1,0.0,0.0,0
0,4,0,0.0,0.0,0
1,4,0,0.0,25000.0,1
2,4,0,25000.0,25000.0,2
3,4,0,25000.0,50000.0,1
4,4,0,50000.0,50000.0,2
5,4,0,50000.0,50000.0,1
6,4,0,50000.0,50000.0,2
7,4,0,50000.0,75000.0,1
8,4,0,75000.0,75000.0,2
9,4,0,75000.0,100000.0,1
10,4,0,100000.0,100000.0,2
11,4,0,100000.0,125000.0,1
12,4,0,125000.0,125000.0,2
13,4,0,125000.0,150000.0,1
14,4,0,150000.0,150000.0,2
15,4,0,150000.0,175000.0,1
16,4,0,175000.0,175000.0,2
17,4,0,175000.0,175000.0,1
18,4,0,175000.0,175000.0,0
0,4,1,0.0,0.0,0
1,4,1,0.0,0.0,1
2,4,1,0.0,0.0,2
3,4,1,0.0,25000.0,1
4,4,1,25000.0,25000.0,2
5,4,1,25000.0,50000.0,1
6,4,1,50000.0,50000.0,2
7,4,1,50000.0,75000.0,1
8,4,1,75000.0,75000.0,2
9,4,1,75000.0,100000.0,1
10,4,1,100000.0,100000.0,2
11,4,1,100000.0,125000.0,1
12,4,1,125000.0,125000.0,2
13,4,1,125000.0,125000.0,1
14,4,1,125000.0,125000.0,2
15,4,1,125000.0,150000.0,1
16,4,1,150000.0,150000.0,2
17,4,1,150000.0,175000.0,1
18,4,1,175000.0,175000.0,0
0,5,0,0.0,0.0,0
1,5,0,0.0,0.0,1
2,5,0,0.0,0.0,2
3,5,0,0.0,25000.0,1
4,5,0,25000.0,25000.0,2
5,5,0,25000.0,50000.0,1
6,5,0,50000.0,50000.0,2
7,5,0,50000.0,50000.0,1
8,5,0,50000.0,50000.0,2
9,5,0,50000.0,75000.0,1
10,5,0,75000.0,75000.0,2
11,5,0,75000.0,100000.0,1
12,5,0,100000.0,100000.0,0
0,5,1,0.0,0.0,0
1,5,1,0.0,0.0,1
2,5,1,0.0,0.0,2
3,5,1,0.0,25000.0,1
4,5,1,25000.0,25000.0,2
5,5,1,25000.0,50000.0,1
6,5,1,50000.0,50000.0,2
7,5,1,50000.0,50000.0,1
8,5,1,50000.0,50000.0,2
9,5,1,50000.0,75000.0,1
10,5,1,75000.0,75000.0,2
11,5,1,75000.0,100000.0,1
12,5,1,100000.0,100000.0,0
0,6,0,0.0,0.0,0
1,6,0,0.0,0.0,1
2,6,0,0.0,0.0,2
3,6,0,0.0,0.0,1
4,6,0,0.0,0.0,2
5,6,0,0.0,25000.0,1
6,6,0,25000.0,25000.0,2
7,6,0,25000.0,50000.0,1
8,6,0,50000.0,50000.0,2
9,6,0,50000.0,50000.0,1
10,6,0,50000.0,50000.0,0
0,6,1,0.0,0.0,0
1,6,1,0.0,25000.0,1
2,6,1,25000.0,25000.0,2
3,6,1,25000.0,50000.0,1
4,6,1,50000.0,50000.0,2
5,6,1,50000.0,75000.0,1
6,6,1,75000.0,75000.0,0
0,7,0,0.0,0.0,0
1,7,0,0.0,0.0,1
2,7,0,0.0,0.0,2
3,7,0,0.0,0.0,1
4,7,0,0.0,0.0,2
5,7,0,0.0,25000.0,1
6,7,0,25000.0,25000.0,0
0,7,1,0.0,0.0,0
1,7,1,0.0,25000.0,1
2,7,1,25000.0,25000.0,2
3,7,1,25000.0,25000.0,1
4,7,1,25000.0,25000.0,2
5,7,1,25000.0,25000.0,1
6,7,1,25000.0,25000.0,0
0,8,0,0.0,0.0,0
1,8,0,0.0,0.0,1
2,8,0,0.0,0.0,2
3,8,0,0.0,25000.0,1
4,8,0,25000.0,25000.0,0
0,8,1,0.0,0.0,0
1,8,1,0.0,25000.0,1
2,8,1,25000.0,25000.0,2
3,8,1,25000.0,25000.0,1
4,8,1,25000.0,25000.0,0
0,9,0,0.0,0.0,0
1,9,0,0.0,0.0,1
2,9,0,0.0,0.0,2
3,9,0,0.0,25000.0,1
4,9,0,25000.0,25000.0,0
0,9,1,0.0,0.0,0
1,9,1,0.0,25000.0,1
2,9,1,25000.0,25000.0,2
3,9,1,25000.0,25000.0,1
4,9,1,25000.0,25000.0,0
0,10,0,0.0,0.0,0
1,10,0,0.0,25000.0,1
2,10,0,25000.0,25000.0,2
3,10,0,25000.0,25000.0,1
4,10,0,25000.0,25000.0,0
0,10,1,0.0,0.0,0
1,10,1,0.0,0.0,1
2,10,1,0.0,0.0,2
3,10,1,0.0,25000.0,1
4,10,1,25000.0,25000.0,0
0,11,0,0.0,0.0,0
1,11,0,0.0,0.0,1
2,11,0,0.0,0.0,2
3,11,0,0.0,25000.0,1
4,11,0,25000.0,25000.0,0
0,11,1,0.0,0.0,0
1,11,1,0.0,0.0,1
2,11,1,0.0,0.0,2
3,11,1,0.0,25000.0,1
4,11,1,25000.0,25000.0,2
5,11,1,25000.0,25000.0,1
6,11,1,25000.0,25000.0,0
0,12,0,0.0,0.0,0
1,12,0,0.0,25000.0,1
2,12,0,25000.0,25000.0,2
3,12,0,25000.0,25000.0,1
4,12,0,25000.0,25000.0,0
0,12,1,0.0,0.0,0
1,12,1,0.0,0.0,1
2,12,1,0.0,0.0,2
3,12,1,0.0,25000.0,1
4,12,1,25000.0,25000.0,0
0,13,0,0.0,0.0,0
1,13,0,0.0,25000.0,1
2,13,0,25000.0,25000.0,2
3,13,0,25000.0,50000.0,1
4,13,0,50000.0,50000.0,2
5,13,0,50000.0,75000.0,1
6,13,0,75000.0,75000.0,2
7,13,0,75000.0,100000.0,1
8,13,0,100000.0,100000.0,2
9,13,0,100000.0,125000.0,1
10,13,0,125000.0,125000.0,2
11,13,0,125000.0,125000.0,1
12,13,0,125000.0,125000.0,0
0,13,1,0.0,0.0,0
1,13,1,0.0,0.0,1
2,13,1,0.0,0.0,2
3,13,1,0.0,50000.0,1
4,13,1,50000.0,50000.0,2
5,13,1,50000.0,50000.0,1
6,13,1,50000.0,50000.0,2
7,13,1,50000.0,75000.0,1
8,13,1,75000.0,75000.0,2
9,13,1,75000.0,100000.0,1
10,13,1,100000.0,100000.0,2
11,13,1,100000.0,125000.0,1
12,13,1,125000.0,125000.0,0
0,14,0,0.0,0.0,0
1,14,0,0.0,0.0,1
2,14,0,0.0,0.0,2
3,14,0,0.0,0.0,1
4,14,0,0.0,0.0,0
0,14,1,0.0,0.0,0
1,14,1,0.0,0.0,1
2,14,1,0.0,0.0,2
3,14,1,0.0,0.0,1
4,14,1,0.0,0.0,0
0,15,0,0.0,0.0,0
1,15,0,0.0,25000.0,1
2,15,0,25000.0,25000.0,2
3,15,0,25000.0,50000.0,1
4,15,0,50000.0,50000.0,0
0,15,1,0.0,0.0,0
1,15,1,0.0,25000.0,1
2,15,1,25000.0,25000.0,2
3,15,1,25000.0,50000.0,1
4,15,1,50000.0,50000.0,0
0,16,0,0.0,0.0,0
1,16,0,0.0,25000.0,1
2,16,0,25000.0,25000.0,2
3,16,0,25000.0,25000.0,1
4,16,0,25000.0,25000.0,2
5,16,0,25000.0,50000.0,1
6,16,0,50000.0,50000.0,2
7,16,0,50000.0,75000.0,1
8,16,0,75000.0,75000.0,2
9,16,0,75000.0,100000.0,1
10,16,0,100000.0,100000.0,2
11,16,0,100000.0,100000.0,1
12,16,0,100000.0,100000.0,2
13,16,0,100000.0,125000.0,1
14,16,0,125000.0,125000.0,0
0,16,1,0.0,0.0,0
1,16,1,0.0,0.0,1
2,16,1,0.0,0.0,2
3,16,1,0.0,25000.0,1
4,16,1,25000.0,25000.0,2
5,16,1,25000.0,25000.0,1
6,16,1,25000.0,25000.0,2
7,16,1,25000.0,50000.0,1
8,16,1,50000.0,50000.0,2
9,16,1,50000.0,50000.0,1
10,16,1,50000.0,50000.0,2
11,16,1,50000.0,75000.0,1
12,16,1,75000.0,75000.0,2
13,16,1,75000.0,100000.0,1
14,16,1,100000.0,100000.0,2
15,16,1,100000.0,100000.0,1
16,16,1,100000.0,100000.0,0
0,17,0,0.0,0.0,0
1,17,0,0.0,0.0,1
2,17,0,0.0,0.0,0
0,17,1,0.0,0.0,0
1,17,1,0.0,0.0,1
2,17,1,0.0,0.0,0
0,18,0,0.0,0.0,0
1,18,0,0.0,25000.0,1
2,18,0,25000.0,25000.0,2
3,18,0,25000.0,25000.0,1
4,18,0,25000.0,25000.0,2
5,18,0,25000.0,75000.0,1
6,18,0,75000.0,75000.0,2
7,18,0,75000.0,100000.0,1
8,18,0,100000.0,100000.0,2
9,18,0,100000.0,125000.0,1
10,18,0,125000.0,125000.0,2
11,18,0,125000.0,125000.0,1
12,18,0,125000.0,125000.0,0
0,18,1,0.0,0.0,0
1,18,1,0.0,0.0,1
2,18,1,0.0,0.0,2
3,18,1,0.0,25000.0,1
4,18,1,25000.0,25000.0,2
5,18,1,25000.0,50000.0,1
6,18,1,50000.0,50000.0,2
7,18,1,50000.0,100000.0,1
8,18,1,100000.0,100000.0,2
9,18,1,100000.0,100000.0,1
10,18,1,100000.0,100000.0,2
11,18,1,100000.0,125000.0,1
12,18,1,125000.0,125000.0,0
0,19,0,0.0,0.0,0
1,19,0,0.0,25000.0,1
2,19,0,25000.0,25000.0,0
0,19,1,0.0,0.0,0
1,19,1,0.0,25000.0,1
2,19,1,25000.0,25000.0,0
0,20,0,0.0,0.0,0
1,20,0,0.0,25000.0,1
2,20,0,25000.0,25000.0,2
3,20,0,25000.0,50000.0,1
4,20,0,50000.0,50000.0,0
0,20,1,0.0,0.0,0
1,20,1,0.0,25000.0,1
2,20,1,25000.0,25000.0,2
3,20,1,25000.0,50000.0,1
4,20,1,50000.0,50000.0,0
0,21,0,0.0,0.0,0
1,21,0,0.0,25000.0,1
2,21,0,25000.0,25000.0,2
3,21,0,25000.0,25000.0,1
4,21,0,25000.0,25000.0,0
0,21,1,0.0,0.0,0
1,21,1,0.0,0.0,1
2,21,1,0.0,0.0,2
3,21,1,0.0,25000.0,1
4,21,1,25000.0,25000.0,0
0,22,0,0.0,0.0,0
1,22,0,0.0,25000.0,1
2,22,0,25000.0,25000.0,0
0,22,1,0.0,0.0,0
1,22,1,0.0,25000.0,1
2,22,1,25000.0,25000.0,0
0,23,0,0.0,0.0,0
1,23,0,0.0,0.0,1
2,23,0,0.0,0.0,0
0,23,1,0.0,0.0,0
1,23,1,0.0,0.0,1
2,23,1,0.0,0.0,0
0,24,0,0.0,0.0,0
1,24,0,0.0,0.0,1
2,24,0,0.0,0.0,2
3,24,0,0.0,25000.0,1
4,24,0,25000.0,25000.0,2
5,24,0,25000.0,50000.0,1
6,24,0,50000.0,50000.0,2
7,24,0,50000.0,75000.0,1
8,24,0,75000.0,75000.0,2
9,24,0,75000.0,75000.0,1
10,24,0,75000.0,75000.0,0
0,24,1,0.0,0.0,0
1,24,1,0.0,0.0,1
2,24,1,0.0,0.0,2
3,24,1,0.0,25000.0,1
4,24,1,25000.0,25000.0,2
5,24,1,25000.0,50000.0,1
6,24,1,50000.0,50000.0,2
7,24,1,50000.0,75000.0,1
8,24,1,75000.0,75000.0,2
9,24,1,75000.0,75000.0,1
10,24,1,75000.0,75000.0,0
0,25,0,0.0,0.0,0
1,25,0,0.0,25000.0,1
2,25,0,25000.0,25000.0,0
0,25,1,0.0,0.0,0
1,25,1,0.0,25000.0,1
2,25,1,25000.0,25000.0,0
0,26,0,0.0,0.0,0
1,26,0,0.0,25000.0,1
2,26,0,25000.0,25000.0,0
0,26,1,0.0,0.0,0
1,26,1,0.0,25000.0,1
2,26,1,25000.0,25000.0,0
0,27,0,0.0,0.0,0
1,27,0,0.0,0.0,1
2,27,0,0.0,0.0,2
3,27,0,0.0,25000.0,1
4,27,0,25000.0,25000.0,2
5,27,0,25000.0,50000.0,1
6,27,0,50000.0,50000.0,2
7,27,0,50000.0,75000.0,1
8,27,0,75000.0,75000.0,2
9,27,0,75000.0,100000.0,1
10,27,0,100000.0,100000.0,2
11,27,0,100000.0,100000.0,1
12,27,0,100000.0,100000.0,2
13,27,0,100000.0,125000.0,1
14,27,0,125000.0,125000.0,0
0,27,1,0.0,0.0,0
1,27,1,0.0,25000.0,1
2,27,1,25000.0,25000.0,2
3,27,1,25000.0,50000.0,1
4,27,1,50000.0,50000.0,2
5,27,1,50000.0,75000.0,1
6,27,1,75000.0,75000.0,2
7,27,1,75000.0,100000.0,1
8,27,1,100000.0,100000.0,2
9,27,1,100000.0,125000.0,1
10,27,1,125000.0,125000.0,2
11,27,1,125000.0,125000.0,1
12,27,1,125000.0,125000.0,0
0,28,0,0.0,0.0,0
1,28,0,0.0,0.0,1
2,28,0,0.0,0.0,2
3,28,0,0.0,25000.0,1
4,28,0,25000.0,25000.0,2
5,28,0,25000.0,50000.0,1
6,28,0,50000.0,50000.0,0
0,28,1,0.0,0.0,0
1,28,1,0.0,25000.0,1
2,28,1,25000.0,25000.0,2
3,28,1,25000.0,50000.0,1
4,28,1,50000.0,50000.0,0
0,29,0,0.0,0.0,0
1,29,0,0.0,0.0,1
2,29,0,0.0,0.0,0
0,29,1,0.0,0.0,0
1,29,1,0.0,0.0,1
2,29,1,0.0,0.0,0
0,30,0,0.0,0.0,0
1,30,0,0.0,0.0,1
2,30,0,0.0,0.0,2
3,30,0,0.0,25000.0,1
4,30,0,25000.0,25000.0,2
5,30,0,25000.0,25000.0,1
6,30,0,25000.0,25000.0,0
0,30,1,0.0,0.0,0
1,30,1,0.0,0.0,1
2,30,1,0.0,0.0,2
3,30,1,0.0,25000.0,1
4,30,1,25000.0,25000.0,0
0,31,0,0.0,0.0,0
1,31,0,0.0,0.0,1
2,31,0,0.0,0.0,2
3,31,0,0.0,25000.0,1
4,31,0,25000.0,25000.0,2
5,31,0,25000.0,25000.0,1
6,31,0,25000.0,25000.0,0
0,31,1,0.0,0.0,0
1,31,1,0.0,0.0,1
2,31,1,0.0,0.0,2
3,31,1,0.0,25000.0,1
4,31,1,25000.0,25000.0,2
5,31,1,25000.0,25000.0,1
6,31,1,25000.0,25000.0,0
0,32,0,0.0,0.0,0
1,32,0,0.0,0.0,1
2,32,0,0.0,0.0,2
3,32,0,0.0,25000.0,1
4,32,0,25000.0,25000.0,0
0,32,1,0.0,0.0,0
1,32,1,0.0,25000.0,1
2,32,1,25000.0,25000.0,2
3,32,1,25000.0,25000.0,1
4,32,1,25000.0,25000.0,0
0,33,0,0.0,0.0,0
1,33,0,0.0,25000.0,1
2,33,0,25000.0,25000.0,0
0,33,1,0.0,0.0,0
1,33,1,0.0,25000.0,1
2,33,1,25000.0,25000.0,0
0,34,0,0.0,0.0,0
1,34,0,0.0,25000.0,1
2,34,0,25000.0,25000.0,2
3,34,0,25000.0,25000.0,1
4,34,0,25000.0,25000.0,2
5,34,0,25000.0,50000.0,1
6,34,0,50000.0,50000.0,0
0,34,1,0.0,0.0,0
1,34,1,0.0,25000.0,1
2,34,1,25000.0,25000.0,2
3,34,1,25000.0,50000.0,1
4,34,1,50000.0,50000.0,0
0,35,0,0.0,0.0,0
1,35,0,0.0,25000.0,1
2,35,0,25000.0,25000.0,0
0,35,1,0.0,0.0,0
1,35,1,0.0,25000.0,1
2,35,1,25000.0,25000.0,0
0,36,0,0.0,0.0,0
1,36,0,0.0,0.0,1
2,36,0,0.0,0.0,2
3,36,0,0.0,0.0,1
4,36,0,0.0,0.0,0
0,36,1,0.0,0.0,0
1,36,1,0.0,0.0,1
2,36,1,0.0,0.0,2
3,36,1,0.0,0.0,1
4,36,1,0.0,0.0,0
0,37,0,0.0,0.0,0
1,37,0,0.0,0.0,1
2,37,0,0.0,0.0,2
3,37,0,0.0,0.0,1
4,37,0,0.0,0.0,0
0,37,1,0.0,0.0,0
1,37,1,0.0,0.0,1
2,37,1,0.0,0.0,0
0,38,0,0.0,0.0,0
1,38,0,0.0,0.0,1
2,38,0,0.0,0.0,2
3,38,0,0.0,0.0,1
4,38,0,0.0,0.0,2
5,38,0,0.0,25000.0,1
6,38,0,25000.0,25000.0,0
0,38,1,0.0,0.0,0
1,38,1,0.0,25000.0,1
2,38,1,25000.0,25000.0,2
3,38,1,25000.0,25000.0,1
4,38,1,25000.0,25000.0,2
5,38,1,25000.0,25000.0,1
6,38,1,25000.0,25000.0,0
0,39,0,0.0,0.0,0
1,39,0,0.0,25000.0,1
2,39,0,25000.0,25000.0,0
0,39,1,0.0,0.0,0
1,39,1,0.0,25000.0,1
2,39,1,25000.0,25000.0,0
0,40,0,0.0,0.0,0
1,40,0,0.0,25000.0,1
2,40,0,25000.0,25000.0,0
0,40,1,0.0,0.0,0
1,40,1,0.0,25000.0,1
2,40,1,25000.0,25000.0,0
0,41,0,0.0,0.0,0
1,41,0,0.0,0.0,1
2,41,0,0.0,0.0,2
3,41,0,0.0,25000.0,1
4,41,0,25000.0,25000.0,0
0,41,1,0.0,0.0,0
1,41,1,0.0,25000.0,1
2,41,1,25000.0,25000.0,2
3,41,1,25000.0,25000.0,1
4,41,1,25000.0,25000.0,0
0,42,0,0.0,0.0,0
1,42,0,0.0,0.0,1
2,42,0,0.0,0.0,0
0,42,1,0.0,0.0,0
1,42,1,0.0,0.0,1
2,42,1,0.0,0.0,0
0,43,0,0.0,0.0,0
1,43,0,0.0,0.0,1
2,43,0,0.0,0.0,2
3,43,0,0.0,0.0,1
4,43,0,0.0,0.0,0
0,43,1,0.0,0.0,0
1,43,1,0.0,0.0,1
2,43,1,0.0,0.0,2
3,43,1,0.0,0.0,1
4,43,1,0.0,0.0,0
0,44,0,0.0,0.0,0
1,44,0,0.0,0.0,1
2,44,0,0.0,0.0,0
0,44,1,0.0,0.0,0
1,44,1,0.0,0.0,1
2,44,1,0.0,0.0,0
0,45,0,0.0,0.0,0
1,45,0,0.0,25000.0,1
2,45,0,25000.0,25000.0,2
3,45,0,25000.0,25000.0,1
4,45,0,25000.0,25000.0,0
0,45,1,0.0,0.0,0
1,45,1,0.0,0.0,1
2,45,1,0.0,0.0,2
3,45,1,0.0,25000.0,1
4,45,1,25000.0,25000.0,0
0,46,0,0.0,0.0,0
1,46,0,0.0,0.0,1
2,46,0,0.0,0.0,0
0,46,1,0.0,0.0,0
1,46,1,0.0,0.0,1
2,46,1,0.0,0.0,0
0,47,0,0.0,0.0,0
1,47,0,0.0,25000.0,1
2,47,0,25000.0,25000.0,2
3,47,0,25000.0,25000.0,1
4,47,0,25000.0,25000.0,0
0,47,1,0.0,0.0,0
1,47,1,0.0,0.0,1
2,47,1,0.0,0.0,2
3,47,1,0.0,25000.0,1
4,47,1,25000.0,25000.0,0
0,48,0,0.0,0.0,0
1,48,0,0.0,25000.0,1
2,48,0,25000.0,25000.0,0
0,48,1,0.0,0.0,0
1,48,1,0.0,25000.0,1
2,48,1,25000.0,25000.0,0
0,49,0,0.0,0.0,0
1,49,0,0.0,0.0,1
2,49,0,0.0,0.0,0
0,49,1,0.0,0.0,0
1,49,1,0.0,0.0,1
2,49,1,0.0,0.0,0
0,50,0,0.0,0.0,0
1,50,0,0.0,0.0,1
2,50,0,0.0,0.0,0
0,50,1,0.0,0.0,0
1,50,1,0.0,0.0,1
2,50,1,0.0,0.0,0
0,51,0,0.0,0.0,0
1,51,0,0.0,0.0,1
2,51,0,0.0,0.0,2
3,51,0,0.0,0.0,1
4,51,0,0.0,0.0,0
0,51,1,0.0,0.0,0
1,51,1,0.0,0.0,1
2,51,1,0.0,0.0,0
0,52,0,0.0,0.0,0
1,52,0,0.0,0.0,1
2,52,0,0.0,0.0,0
0,52,1,0.0,0.0,0
1,52,1,0.0,0.0,1
2,52,1,0.0,0.0,0
0,53,0,0.0,0.0,0
1,53,0,0.0,0.0,1
2,53,0,0.0,0.0,0
0,53,1,0.0,0.0,0
1,53,1,0.0,0.0,1
2,53,1,0.0,0.0,0
0,54,0,0.0,0.0,0
1,54,0,0.0,25000.0,1
2,54,0,25000.0,25000.0,2
3,54,0,25000.0,25000.0,1
4,54,0,25000.0,25000.0,0
0,54,1,0.0,0.0,0
1,54,1,0.0,0.0,1
2,54,1,0.0,0.0,2
3,54,1,0.0,25000.0,1
4,54,1,25000.0,25000.0,0
0,55,0,0.0,0.0,0
1,55,0,0.0,0.0,1
2,55,0,0.0,0.0,2
3,55,0,0.0,50000.0,1
4,55,0,50000.0,50000.0,0
0,55,1,0.0,0.0,0
1,55,1,0.0,50000.0,1
2,55,1,50000.0,50000.0,2
3,55,1,50000.0,50000.0,1
4,55,1,50000.0,50000.0,0
0,56,0,0.0,0.0,0
1,56,0,0.0,25000.0,1
2,56,0,25000.0,25000.0,2
3,56,0,25000.0,25000.0,1
4,56,0,25000.0,25000.0,2
5,56,0,25000.0,25000.0,1
6,56,0,25000.0,25000.0,0
0,56,1,0.0,0.0,0
1,56,1,0.0,0.0,1
2,56,1,0.0,0.0,2
3,56,1,0.0,0.0,1
4,56,1,0.0,0.0,2
5,56,1,0.0,25000.0,1
6,56,1,25000.0,25000.0,0
0,57,0,0.0,0.0,0
1,57,0,0.0,0.0,1
2,57,0,0.0,0.0,0
0,57,1,0.0,0.0,0
1,57,1,0.0,0.0,1
2,57,1,0.0,0.0,0
0,58,0,0.0,0.0,0
1,58,0,0.0,0.0,1
2,58,0,0.0,0.0,0
0,58,1,0.0,0.0,0
1,58,1,0.0,0.0,1
2,58,1,0.0,0.0,0
0,59,0,0.0,0.0,0
1,59,0,0.0,25000.0,1
2,59,0,25000.0,25000.0,2
3,59,0,25000.0,25000.0,1
4,59,0,25000.0,25000.0,0
0,59,1,0.0,0.0,0
1,59,1,0.0,0.0,1
2,59,1,0.0,0.0,2
3,59,1,0.0,25000.0,1
4,59,1,25000.0,25000.0,0
0,60,0,0.0,0.0,0
1,60,0,0.0,0.0,1
2,60,0,0.0,0.0,2
3,60,0,0.0,25000.0,1
4,60,0,25000.0,25000.0,0
0,60,1,0.0,0.0,0
1,60,1,0.0,25000.0,1
2,60,1,25000.0,25000.0,2
3,60,1,25000.0,25000.0,1
4,60,1,25000.0,25000.0,0
